marca,nombre_vehiculo,bateria,caballo_fuerza,velocidad_max,performance,precio,combustible,asientos,torque,bateria_unidad,bateria_valor,caballo_fuerza_unidad
kia,Sorento X-Pro Hybrid,1591 cc,227,200,7.8,49000.0,hibrido,7,352,cc,1591.0,
kia,Forte Limited Edition,1999 cc,147,190,9.2,22500.0,gasolina,5,179,cc,1999.0,
bugatti,Chiron,7993 cc,1500,420,2.5,3000000.0,gasolina,2,1600,cc,7993.0,
bugatti,Chiron Pur Sport,7993 cc,1500,350,2.3,3300000.0,gasolina,2,1600,cc,7993.0,
bugatti,Chiron Super Sport,7993 cc,1600,490,2.4,3500000.0,gasolina,2,1600,cc,7993.0,
bugatti,Chiron Sport,7993 cc,1500,420,2.4,3300000.0,gasolina,2,1600,cc,7993.0,
bugatti,Chiron Noire,7993 cc,1500,420,2.5,3300000.0,gasolina,2,1600,cc,7993.0,
bugatti,Divo,7993 cc,1500,380,2.4,5800000.0,gasolina,2,1600,cc,7993.0,
bugatti,Centodieci,7993 cc,1600,380,2.4,9000000.0,gasolina,2,1600,cc,7993.0,
bugatti,La Voiture Noire,7993 cc,1500,420,2.5,18000000.0,gasolina,2,1600,cc,7993.0,
bugatti,Bolide,7993 cc,1850,500,2.2,4500000.0,gasolina,2,1600,cc,7993.0,
bugatti,Mistral,7993 cc,1600,420,2.4,5000000.0,gasolina,2,1600,cc,7993.0,
volvo,Volvo FH,13000 cc,540,120,15.0,120000.0,diesel,2,2600,cc,13000.0,
volvo,Volvo FH16,16100 cc,750,120,14.5,160000.0,diesel,2,3500,cc,16100.0,
volvo,Volvo FM,12800 cc,460,110,16.0,100000.0,diesel,2,2200,cc,12800.0,
volvo,Volvo FMX,13000 cc,500,110,16.5,110000.0,diesel,2,2500,cc,13000.0,
volvo,Volvo VNL,12800 cc,500,120,15.0,125000.0,diesel,2,2400,cc,12800.0,
volvo,Volvo VNR,12800 cc,400,110,17.0,95000.0,diesel,2,1800,cc,12800.0,
volvo,Volvo VHD,12800 cc,500,100,18.0,120000.0,diesel,2,2500,cc,12800.0,
volvo,Volvo FE,7700 cc,280,90,20.0,85000.0,diesel,2,1200,cc,7700.0,
volvo,Volvo FL,5100 cc,180,80,22.0,75000.0,diesel,2,800,cc,5100.0,
jaguar land rover,Jaguar F-Type,2995 cc (V6),335,260,5.1,70000.0,gasolina,2,450,cc,29956.0,
jaguar land rover,Jaguar XE,1999 cc (I4),250,250,6.5,45000.0,gasolina,5,365,cc,19994.0,
jaguar land rover,Jaguar XF,1999 cc (I4),250,250,6.5,50000.0,gasolina,5,365,cc,19994.0,
jaguar land rover,Jaguar XJ,2995 cc (V6),300,250,6.0,85000.0,gasolina,5,400,cc,29956.0,
jaguar land rover,Jaguar E-PACE,1999 cc (I4),200,230,7.0,50000.0,gasolina,5,430,cc,19994.0,
jaguar land rover,Jaguar I-PACE,90 kWh (Battery),400,200,4.8,70000.0,electrico,5,696,kWh,90.0,
jaguar land rover,Jaguar F-PACE,1999 cc (I4) / 2995 cc (V6),250340,230,,,gasolina,5,365480,cc,1999429956.0,
jaguar land rover,Jaguar X-TYPE,1998 cc (I4),160,215,9.0,40000.0,gasolina,5,215,cc,19984.0,
jaguar land rover,Jaguar F-PACE R-Dynamic,1999 cc (I4) / 2995 cc (V6),340,250,5.4,65000.0,gasolina,5,480,cc,1999429956.0,
